# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.0
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-03-2024
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon id containing the transcription uni 
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenesIds. Ids of the gene(s) contained in the transcription unit
## (6) tuGenesNames. Names of the gene(s) contained in the transcription unit
## (7) promoterId. Promoter Id
## (8) promoterName. Promoter Name
## (9) sigmaFactor. Sigma Factor associated to 
##(10) tfsIds. transcription Factors ids that regulates the transcription Unit
##(11) tfsNames. transcription Factors names that regulates the transcription Unit
##
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)sigmaFactor	10)tfsIds	11)tfsNames 
RDBECOLITUC00790	yfaX-rhmD	RDBECOLIOPC03027	yfaX-rhmD	RDBECOLIGNC03993,RDBECOLIGNC03992	yfaX;rhmD;					 
RDBECOLITUC00791	yfaY	RDBECOLIOPC00254	yfaY	RDBECOLIGNC03994	yfaY;	RDBECOLIPMC00118	yfaYp			 
RDBECOLITUC00792	yfaZ	RDBECOLIOPC01716	yfaZ	RDBECOLIGNC03995	yfaZ;					 
RDBECOLITUC00793	arnBCADTEF	RDBECOLIOPC00753	arnBCADTEF	RDBECOLIGNC04003,RDBECOLIGNC02597,RDBECOLIGNC04002,RDBECOLIGNC04001,RDBECOLIGNC04000,RDBECOLIGNC03999,RDBECOLIGNC03998	arnF;arnE;arnT;arnD;arnA;arnC;arnB;				RDBECOLITFC00196	BasR 
RDBECOLITUC00794	pmrD	RDBECOLIOPC02571	pmrD	RDBECOLIGNC04004	pmrD;					 
RDBECOLITUC00795	elaB	RDBECOLIOPC01366	elaB	RDBECOLIGNC04005	elaB;	RDBECOLIPMC03168	elaBp	sigma38	RDBECOLITFC00216,RDBECOLITFC00216,RDBECOLITFC00051	OxyR,OxyR,Rob 
RDBECOLITUC00796	elaA	RDBECOLIOPC00469	elaA	RDBECOLIGNC04006	elaA;					 
RDBECOLITUC00797	rbn	RDBECOLIOPC02134	rbn	RDBECOLIGNC04007	rbn;	RDBECOLIPMC02612	rbnp	sigma70		 
RDBECOLITUC00798	elaD	RDBECOLIOPC01068	elaD	RDBECOLIGNC04008	elaD;					 
RDBECOLITUC00799	yfbL	RDBECOLIOPC00197	yfbL	RDBECOLIGNC04010	yfbL;				RDBECOLITFC00135	Nac 
RDBECOLITUC00800	yfbM	RDBECOLIOPC01756	yfbM	RDBECOLIGNC04011	yfbM;					 
RDBECOLITUC00801	yfbO	RDBECOLIOPC00790	yfbO	RDBECOLIGNC04013	yfbO;					 
RDBECOLITUC00802	yfbP	RDBECOLIOPC02485	yfbP	RDBECOLIGNC04014	yfbP;					 
RDBECOLITUC00803	alaA	RDBECOLIOPC03398	alaA-yfbR	RDBECOLIGNC04015	alaA;	RDBECOLIPMC01611	alaAp9	sigma32	RDBECOLITFC00014	Lrp 
RDBECOLITUC00804	yfbR	RDBECOLIOPC03398	alaA-yfbR	RDBECOLIGNC04016	yfbR;	RDBECOLIPMC01612	yfbRp3	sigma32	RDBECOLITFC00152	CysB 
RDBECOLITUC00805	yfbS	RDBECOLIOPC02058	yfbS	RDBECOLIGNC04017	yfbS;					 
RDBECOLITUC00806	yfbU-hxpA	RDBECOLIOPC01090	yfbU-hxpA	RDBECOLIGNC04019,RDBECOLIGNC04018	yfbU;hxpA;	RDBECOLIPMC02494	yfbUp			 
RDBECOLITUC00807	yfbV	RDBECOLIOPC00241	yfbV	RDBECOLIGNC04020	yfbV;				RDBECOLITFC00135	Nac 
RDBECOLITUC00808	yfcC	RDBECOLIOPC01702	yfcC	RDBECOLIGNC04021	yfcC;					 
RDBECOLITUC00809	yfcD	RDBECOLIOPC01038	yfcD	RDBECOLIGNC04022	yfcD;	RDBECOLIPMC03167	yfcDp			 
RDBECOLITUC00810	yfcE	RDBECOLIOPC00237	yfcE	RDBECOLIGNC04023	yfcE;	RDBECOLIPMC03181	yfcEp			 
RDBECOLITUC00811	yfcF	RDBECOLIOPC01695	yfcF	RDBECOLIGNC04024	yfcF;					 
RDBECOLITUC00812	yfcG	RDBECOLIOPC00738	yfcG	RDBECOLIGNC04025	yfcG;					 
RDBECOLITUC00813	folX-yfcH	RDBECOLIOPC02548	folX-yfcH	RDBECOLIGNC04027,RDBECOLIGNC04026	yfcH;folX;	RDBECOLIPMC03170	folXp			 
RDBECOLITUC00814	rpnB	RDBECOLIOPC01350	rpnB	RDBECOLIGNC04028	rpnB;					 
RDBECOLITUC00815	folC-dedD	RDBECOLIOPC00457	folC-dedD	RDBECOLIGNC00321,RDBECOLIGNC00212	folC;dedD;					 
RDBECOLITUC00816	yfcJ	RDBECOLIOPC02109	yfcJ	RDBECOLIGNC04029	yfcJ;					 
RDBECOLITUC00817	prmB-aroC-mepA-yfcA-epmC-yfcL	RDBECOLIOPC01060	prmB-aroC-mepA-yfcA-epmC-yfcL	RDBECOLIGNC02296,RDBECOLIGNC00071,RDBECOLIGNC00572,RDBECOLIGNC01127,RDBECOLIGNC04032,RDBECOLIGNC04031	prmB;aroC;mepA;yfcA;epmC;yfcL;					 
RDBECOLITUC00818	yfcUSRQPO	RDBECOLIOPC00185	yfcUSRQPO	RDBECOLIGNC04039,RDBECOLIGNC04038,RDBECOLIGNC04037,RDBECOLIGNC04036,RDBECOLIGNC04035,RDBECOLIGNC04034	yfcU;yfcS;yfcR;yfcQ;yfcP;yfcO;					 
RDBECOLITUC00819	yfcV	RDBECOLIOPC01741	yfcV	RDBECOLIGNC04040	yfcV;					 
RDBECOLITUC00820	yfcZ	RDBECOLIOPC00777	yfcZ	RDBECOLIGNC04044	yfcZ;	RDBECOLIPMC00119	yfcZp			 
RDBECOLITUC00821	yfdF	RDBECOLIOPC02465	yfdF	RDBECOLIGNC04045	yfdF;					 
RDBECOLITUC00822	yfdC	RDBECOLIOPC01392	yfdC	RDBECOLIGNC04047	yfdC;				RDBECOLITFC00080	GlaR 
RDBECOLITUC00823	intS	RDBECOLIOPC00499	intS	RDBECOLIGNC04048	intS;	RDBECOLIPMC00515	intSp	sigma70		 
RDBECOLITUC00824	yfdGHI	RDBECOLIOPC02040	yfdGHI	RDBECOLIGNC04051,RDBECOLIGNC04050,RDBECOLIGNC04049	yfdI;yfdH;yfdG;					 
RDBECOLITUC00825	tfaS	RDBECOLIOPC01022	tfaS	RDBECOLIGNC04052	tfaS;					 
RDBECOLITUC00826	yfdONMLK	RDBECOLIOPC00224	yfdONMLK	RDBECOLIGNC04057,RDBECOLIGNC04056,RDBECOLIGNC04055,RDBECOLIGNC04054,RDBECOLIGNC04053	yfdO;yfdN;yfdM;yfdL;yfdK;				RDBECOLITFC00234,RDBECOLITFC00234,RDBECOLITFC00234,RDBECOLITFC00234	SrsR,SrsR,SrsR,SrsR 
RDBECOLITUC00827	yfdPQ	RDBECOLIOPC01679	yfdPQ	RDBECOLIGNC04059,RDBECOLIGNC04058	yfdQ;yfdP;				RDBECOLITFC00234,RDBECOLITFC00234,RDBECOLITFC00234,RDBECOLITFC00234	SrsR,SrsR,SrsR,SrsR 
RDBECOLITUC00828	yfdRST	RDBECOLIOPC00727	yfdRST	RDBECOLIGNC04062,RDBECOLIGNC04061,RDBECOLIGNC04060	yfdT;yfdS;yfdR;					 
RDBECOLITUC00829	ypdJ	RDBECOLIOPC02528	ypdJ	RDBECOLIGNC02598	ypdJ;					 
RDBECOLITUC00830	torI	RDBECOLIOPC01336	torI	RDBECOLIGNC02943	torI;				RDBECOLITFC00135	Nac 
RDBECOLITUC00831	yfdE	RDBECOLIOPC03522	yfdV	RDBECOLIGNC04064	yfdE;				RDBECOLITFC00135	Nac 
RDBECOLITUC00832	yfdV	RDBECOLIOPC03522	yfdV	RDBECOLIGNC04065	yfdV;				RDBECOLITFC00135	Nac 
RDBECOLITUC00833	oxc	RDBECOLIOPC03522	yfdV	RDBECOLIGNC04066	oxc;					 
RDBECOLITUC00834	tpke70	RDBECOLIOPC00172	tpke70	RDBECOLIGNC02906	tpke70;					 
RDBECOLITUC00835	alaC	RDBECOLIOPC01729	alaC	RDBECOLIGNC04072	alaC;	RDBECOLIPMC03084	alaCp	sigma70	RDBECOLITFC00107	SgrR 
RDBECOLITUC00836	pyrSR-ypdC	RDBECOLIOPC00765	pyrSR-ypdC	RDBECOLIGNC04075,RDBECOLIGNC04074,RDBECOLIGNC04073	ypdC;pyrR;pyrS;					 
RDBECOLITUC00837	fryBC-ypdFE-fryA	RDBECOLIOPC02446	fryBC-ypdFE-fryA	RDBECOLIGNC04080,RDBECOLIGNC04079,RDBECOLIGNC04078,RDBECOLIGNC04077,RDBECOLIGNC04076	fryB;fryC;ypdF;ypdE;fryA;					 
RDBECOLITUC00838	yfeO	RDBECOLIOPC01376	yfeO	RDBECOLIGNC04081	yfeO;					 
RDBECOLITUC00839	ypeC	RDBECOLIOPC00484	ypeC	RDBECOLIGNC04082	ypeC;					 
RDBECOLITUC00840	insL3	RDBECOLIOPC02023	insL3	RDBECOLIGNC04084	insL3;					 
RDBECOLITUC00841	pdeA	RDBECOLIOPC01009	pdeA	RDBECOLIGNC01128	pdeA;					 
RDBECOLITUC00842	ligA-ypeB	RDBECOLIOPC00213	ligA-ypeB	RDBECOLIGNC00526,RDBECOLIGNC02599	ligA;ypeB;	RDBECOLIPMC00122	ligAp			 
RDBECOLITUC00843	zipA	RDBECOLIOPC01663	zipA	RDBECOLIGNC04087	zipA;					 
RDBECOLITUC00844	cysZ	RDBECOLIOPC00713	cysZ	RDBECOLIGNC00003	cysZ;					 
RDBECOLITUC00845	ucpA	RDBECOLIOPC02508	ucpA	RDBECOLIGNC02030	ucpA;	RDBECOLIPMC00125	ucpAp1			 
RDBECOLITUC00846	murR	RDBECOLIOPC01324	murR	RDBECOLIGNC04091	murR;	RDBECOLIPMC00250	murRp	sigma70	RDBECOLITFC00159,RDBECOLITFC00159	MurR,MurR 
RDBECOLITUC00847	murQP-yfeW	RDBECOLIOPC03558	murQP-yfeW	RDBECOLIGNC04094,RDBECOLIGNC04093,RDBECOLIGNC04092	yfeW;murP;murQ;					 
RDBECOLITUC00848	ypeA-yfeZ	RDBECOLIOPC02072	ypeA-yfeZ	RDBECOLIGNC04098,RDBECOLIGNC04097	ypeA;yfeZ;					 
RDBECOLITUC00849	eutBCLKR	RDBECOLIOPC01046	eutBCLKR	RDBECOLIGNC02560,RDBECOLIGNC02561,RDBECOLIGNC04100,RDBECOLIGNC04099,RDBECOLIGNC02074	eutB;eutC;eutL;eutK;eutR;					 
RDBECOLITUC00850	intZ	RDBECOLIOPC00164	intZ	RDBECOLIGNC04101	intZ;					 
RDBECOLITUC00851	yffL	RDBECOLIOPC01713	yffL	RDBECOLIGNC04102	yffL;					 
RDBECOLITUC00852	yffMN	RDBECOLIOPC00755	yffMN	RDBECOLIGNC04104,RDBECOLIGNC04103	yffN;yffM;					 
RDBECOLITUC00853	yffQR	RDBECOLIOPC02426	yffQR	RDBECOLIGNC04108,RDBECOLIGNC04107	yffR;yffQ;					 
RDBECOLITUC00854	yffS	RDBECOLIOPC01365	yffS	RDBECOLIGNC04109	yffS;					 
RDBECOLITUC00855	eutHA	RDBECOLIOPC00471	eutHA	RDBECOLIGNC04111,RDBECOLIGNC04110	eutH;eutA;				RDBECOLITFC00220,RDBECOLITFC00220	HipB,HipB 
RDBECOLITUC00856	eutNEJG	RDBECOLIOPC02006	eutNEJG	RDBECOLIGNC04115,RDBECOLIGNC04114,RDBECOLIGNC04113,RDBECOLIGNC04112	eutN;eutE;eutJ;eutG;					 
RDBECOLITUC00857	eutSPQTDM	RDBECOLIOPC00996	eutSPQTDM	RDBECOLIGNC04121,RDBECOLIGNC04120,RDBECOLIGNC04119,RDBECOLIGNC04118,RDBECOLIGNC04117,RDBECOLIGNC04116	eutS;eutP;eutQ;eutT;eutD;eutM;				RDBECOLITFC00027	NagC 
RDBECOLITUC00858	maeB	RDBECOLIOPC00202	maeB	RDBECOLIGNC04122	maeB;					 
RDBECOLITUC00859	ypfG	RDBECOLIOPC01649	ypfG	RDBECOLIGNC04123	ypfG;					 
RDBECOLITUC00860	nudK	RDBECOLIOPC00699	nudK	RDBECOLIGNC02266	nudK;					 
RDBECOLITUC00861	aegA	RDBECOLIOPC02488	aegA	RDBECOLIGNC02265	aegA;				RDBECOLITFC00189	CRP 
RDBECOLITUC00862	narQ	RDBECOLIOPC01307	narQ	RDBECOLIGNC01422	narQ;	RDBECOLIPMC00558	narQp		RDBECOLITFC00189	CRP 
RDBECOLITUC00863	yffB-dapE-ypfN	RDBECOLIOPC02936	yffB-dapE-ypfN	RDBECOLIGNC02600,RDBECOLIGNC00202,RDBECOLIGNC01130	ypfN;dapE;yffB;	RDBECOLIPMC03066	yffBp	sigma70		 
RDBECOLITUC00864	ypfH	RDBECOLIOPC02055	ypfH	RDBECOLIGNC04124	ypfH;					 
RDBECOLITUC00865	ypfJ-tmcA	RDBECOLIOPC01040	ypfJ-tmcA	RDBECOLIGNC04126,RDBECOLIGNC04125	ypfJ;tmcA;					 
RDBECOLITUC00866	hda	RDBECOLIOPC00152	hda	RDBECOLIGNC04140	hda;	RDBECOLIPMC03169	hdap			 
RDBECOLITUC00867	yfgG	RDBECOLIOPC01697	yfgG	RDBECOLIGNC04142	yfgG;	RDBECOLIPMC00560	yfgGp	sigma70		 
RDBECOLITUC00868	yfgHI	RDBECOLIOPC00744	yfgHI	RDBECOLIGNC04144,RDBECOLIGNC04143	yfgI;yfgH;					 
RDBECOLITUC00869	yfgJ	RDBECOLIOPC02408	yfgJ	RDBECOLIGNC04145	yfgJ;					 
RDBECOLITUC00870	rlmN	RDBECOLIOPC01351	rlmN	RDBECOLIGNC02258	rlmN;					 
RDBECOLITUC00871	ndk	RDBECOLIOPC00461	ndk	RDBECOLIGNC00642	ndk;				RDBECOLITFC00098	ArcA 
RDBECOLITUC00872	yfhM-pbpC	RDBECOLIOPC01992	yfhM-pbpC	RDBECOLIGNC04150,RDBECOLIGNC04149	yfhM;pbpC;	RDBECOLIPMC00132	yfhMp			 
RDBECOLITUC00873	ryfA-timP	RDBECOLIOPC00981	ryfA-timP	RDBECOLIGNC02861,RDBECOLIGNC02881	timP;ryfA;					 
RDBECOLITUC00874	sseB	RDBECOLIOPC00190	sseB	RDBECOLIGNC01548	sseB;					 
RDBECOLITUC00875	pepB	RDBECOLIOPC01633	pepB	RDBECOLIGNC02182	pepB;					 
RDBECOLITUC00876	trmJ	RDBECOLIOPC00690	trmJ	RDBECOLIGNC04154	trmJ;					 
RDBECOLITUC00877	suhB	RDBECOLIOPC02469	suhB	RDBECOLIGNC00971	suhB;					 
RDBECOLITUC00878	yfhR	RDBECOLIOPC01291	yfhR	RDBECOLIGNC04155	yfhR;					 
RDBECOLITUC00879	hcaT	RDBECOLIOPC00411	hcaT	RDBECOLIGNC04157	hcaT;					 
RDBECOLITUC00880	yphA	RDBECOLIOPC02037	yphA	RDBECOLIGNC04162	yphA;					 
RDBECOLITUC00881	yphCB	RDBECOLIOPC01024	yphCB	RDBECOLIGNC04164,RDBECOLIGNC04163	yphC;yphB;					 
RDBECOLITUC00882	yphFED	RDBECOLIOPC00142	yphFED	RDBECOLIGNC04167,RDBECOLIGNC04166,RDBECOLIGNC04165	yphF;yphE;yphD;					 
RDBECOLITUC00883	yphG	RDBECOLIOPC01682	yphG	RDBECOLIGNC04168	yphG;					 
RDBECOLITUC00884	glmY	RDBECOLIOPC03365	glmY	RDBECOLIGNC02909	glmY;	RDBECOLIPMC03106	glmYp1	sigma54	RDBECOLITFC00162,RDBECOLITFC00162,RDBECOLITFC00162,RDBECOLITFC00211,RDBECOLITFC00211	GlrR,GlrR,GlrR,IHF,IHF 
RDBECOLITUC00885	pgpC-tadA	RDBECOLIOPC02389	pgpC-tadA	RDBECOLIGNC01338,RDBECOLIGNC01339	pgpC;tadA;	RDBECOLIPMC00317	pgpCp	sigma32	RDBECOLITFC00038	NsrR 
RDBECOLITUC00886	yfhH	RDBECOLIOPC01337	yfhH	RDBECOLIGNC02180	yfhH;					 
RDBECOLITUC00887	yfhL	RDBECOLIOPC00453	yfhL	RDBECOLIGNC04171	yfhL;	RDBECOLIPMC03174	yfhLp			 
RDBECOLITUC00888	tapT-patZ	RDBECOLIOPC01978	tapT-patZ	RDBECOLIGNC04175,RDBECOLIGNC04174	patZ;tapT;					 
RDBECOLITUC00889	pssLA	RDBECOLIOPC00972	pssLA	RDBECOLIGNC02830,RDBECOLIGNC00771	pssL;pssA;	RDBECOLIPMC01702	pssAp	sigma70		 
RDBECOLITUC00890	yfiM	RDBECOLIOPC00178	yfiM	RDBECOLIGNC02399	yfiM;					 
RDBECOLITUC00891	kgtP	RDBECOLIOPC01620	kgtP	RDBECOLIGNC00514	kgtP;				RDBECOLITFC00098	ArcA 
RDBECOLITUC00892	rluD-pgeF	RDBECOLIOPC00680	rluD-pgeF	RDBECOLIGNC01999,RDBECOLIGNC01998	rluD;yfiH;					 
RDBECOLITUC00893	raiAZ	RDBECOLIOPC02453	raiAZ	RDBECOLIGNC02854,RDBECOLIGNC01133	raiZ;raiA;	RDBECOLIPMC03235	raiAp	sigma32	RDBECOLITFC00189	CRP 
RDBECOLITUC00894	yfiL	RDBECOLIOPC01278	yfiL	RDBECOLIGNC02294	yfiL;					 
RDBECOLITUC00895	yfiR-dgcN-yfiB	RDBECOLIOPC02612	yfiR-dgcN-yfiB	RDBECOLIGNC01134,RDBECOLIGNC02414,RDBECOLIGNC04178	yfiB;dgcN;yfiR;	RDBECOLIPMC02513	yfiRp	sigma70	RDBECOLITFC00101	YjjQ 
RDBECOLITUC00896	ffh	RDBECOLIOPC02022	ffh	RDBECOLIGNC00294	ffh;	RDBECOLIPMC00134	ffhp			 
RDBECOLITUC00897	ypjD	RDBECOLIOPC01013	ypjD	RDBECOLIGNC04179	ypjD;					 
RDBECOLITUC00898	yfjD	RDBECOLIOPC00132	yfjD	RDBECOLIGNC02290	yfjD;				RDBECOLITFC00080	GlaR 
RDBECOLITUC00899	nadK	RDBECOLIOPC01668	nadK	RDBECOLIGNC02076	nadK;					 
RDBECOLITUC00900	ratA-yfjF	RDBECOLIOPC00720	ratA-yfjF	RDBECOLIGNC04181,RDBECOLIGNC04180	ratA;yfjF;					 
RDBECOLITUC00901	smpB	RDBECOLIOPC02374	smpB	RDBECOLIGNC01713	smpB;					 
RDBECOLITUC00902	intA	RDBECOLIOPC01329	intA	RDBECOLIGNC01714	intA;				RDBECOLITFC00132	AlpA 
RDBECOLITUC00903	alpA	RDBECOLIOPC00441	alpA	RDBECOLIGNC02011	alpA;					 
RDBECOLITUC00904	yfjI	RDBECOLIOPC01962	yfjI	RDBECOLIGNC04183	yfjI;				RDBECOLITFC00135	Nac 
RDBECOLITUC00905	yfjJ	RDBECOLIOPC00961	yfjJ	RDBECOLIGNC04184	yfjJ;					 
RDBECOLITUC00906	abpAB	RDBECOLIOPC00168	abpAB	RDBECOLIGNC04186,RDBECOLIGNC04185	abpA;abpB;					 
RDBECOLITUC00907	yfjM	RDBECOLIOPC01606	yfjM	RDBECOLIGNC04187	yfjM;					 
RDBECOLITUC00908	yfjPQ	RDBECOLIOPC00669	yfjPQ	RDBECOLIGNC04191,RDBECOLIGNC04190	yfjQ;yfjP;					 
RDBECOLITUC00909	yfjR-ypjK-yfjS-yfjT	RDBECOLIOPC02435	yfjR-ypjK-yfjS-yfjT	RDBECOLIGNC04195,RDBECOLIGNC04194,RDBECOLIGNC04193,RDBECOLIGNC04192	yfjT;yfjS;ypjK;yfjR;					 
RDBECOLITUC00910	yfjU	RDBECOLIOPC01265	yfjU	RDBECOLIGNC04196	yfjU;					 
RDBECOLITUC00911	yfjV	RDBECOLIOPC00389	yfjV	RDBECOLIGNC04197	yfjV;	RDBECOLIPMC03245	yfjVp	sigma32		 
RDBECOLITUC00912	yfjW	RDBECOLIOPC02007	yfjW	RDBECOLIGNC04198	yfjW;					 
RDBECOLITUC00913	yfjXY-ypjJ-yfjZ-ypjF	RDBECOLIOPC01000	yfjXY-ypjJ-yfjZ-ypjF	RDBECOLIGNC04202,RDBECOLIGNC04201,RDBECOLIGNC02601,RDBECOLIGNC04200,RDBECOLIGNC04199	ypjF;yfjZ;ypjJ;yfjY;yfjX;					 
RDBECOLITUC00914	ypjA	RDBECOLIOPC00121	ypjA	RDBECOLIGNC04203	ypjA;				RDBECOLITFC00080	GlaR 
RDBECOLITUC00915	pinH	RDBECOLIOPC01655	pinH	RDBECOLIGNC04204	pinH;					 
RDBECOLITUC00916	ypjB	RDBECOLIOPC00708	ypjB	RDBECOLIGNC04205	ypjB;	RDBECOLIPMC02444	ypjBp			 
RDBECOLITUC00917	ypjC	RDBECOLIOPC02357	ypjC	RDBECOLIGNC04206	ypjC;					 
RDBECOLITUC00918	ileY	RDBECOLIOPC01313	ileY	RDBECOLIGNC04208	ileY;					 
RDBECOLITUC00919	ygaQ	RDBECOLIOPC00431	ygaQ	RDBECOLIGNC04210	ygaQ;					 
RDBECOLITUC00920	kbp	RDBECOLIOPC03523	yqaE-kbp	RDBECOLIGNC04212	kbp;	RDBECOLIPMC01737	kbpp4	sigma38		 
RDBECOLITUC00921	yqaE	RDBECOLIOPC03523	yqaE-kbp	RDBECOLIGNC04213	yqaE;	RDBECOLIPMC00262	yqaEp		RDBECOLITFC00170	CpxR 
RDBECOLITUC00922	ygaVP	RDBECOLIOPC00159	ygaVP	RDBECOLIGNC04215,RDBECOLIGNC04214	ygaP;ygaV;					 
RDBECOLITUC00923	ygaM	RDBECOLIOPC01592	ygaM	RDBECOLIGNC04217	ygaM;	RDBECOLIPMC00135	ygaMp			 
RDBECOLITUC00924	ygaY	RDBECOLIOPC00657	ygaY	RDBECOLIGNC04220	ygaY;					 
RDBECOLITUC00925	ygaZH	RDBECOLIOPC02417	ygaZH	RDBECOLIGNC04222,RDBECOLIGNC04221	ygaH;ygaZ;					 
RDBECOLITUC00926	gshA	RDBECOLIOPC01255	gshA	RDBECOLIGNC00411	gshA;					 
RDBECOLITUC00927	yqaBA	RDBECOLIOPC00380	yqaBA	RDBECOLIGNC04224,RDBECOLIGNC04223	yqaB;yqaA;					 
RDBECOLITUC00928	None	RDBECOLIOPC02979	csrA	RDBECOLIGNC01409	csrA;	RDBECOLIPMC00136	csrAp3	sigma38	RDBECOLITFC00039	DksA 
RDBECOLITUC00929	pncC	RDBECOLIOPC00989	pncC	RDBECOLIGNC04225	pncC;	RDBECOLIPMC03139	pncCp	sigma32		 
RDBECOLITUC00930	mltB	RDBECOLIOPC00109	mltB	RDBECOLIGNC04226	mltB;					 
RDBECOLITUC00931	pphB	RDBECOLIOPC01641	pphB	RDBECOLIGNC04229	pphB;				RDBECOLITFC00135	Nac 
RDBECOLITUC00932	ygbJK	RDBECOLIOPC03040	ygbJK	RDBECOLIGNC04232,RDBECOLIGNC04231	ygbK;ygbJ;				RDBECOLITFC00230	YgbI 
RDBECOLITUC00933	ygbLM	RDBECOLIOPC02339	ygbLM	RDBECOLIGNC04234,RDBECOLIGNC04233	ygbM;ygbL;					 
RDBECOLITUC00934	ygbN	RDBECOLIOPC01298	ygbN	RDBECOLIGNC04235	ygbN;					 
RDBECOLITUC00935	ygbE	RDBECOLIOPC00419	ygbE	RDBECOLIGNC02360	ygbE;					 
RDBECOLITUC00936	casABCDE12	RDBECOLIOPC02100	casDE-ygbTF	RDBECOLIGNC04244,RDBECOLIGNC04243,RDBECOLIGNC04242,RDBECOLIGNC04241,RDBECOLIGNC04240,RDBECOLIGNC04239,RDBECOLIGNC02393	casA;casB;casC;casD;casE;cas1;cas2;	RDBECOLIPMC00363	casAp	sigma70	RDBECOLITFC00020,RDBECOLITFC00212,RDBECOLITFC00212,RDBECOLITFC00212,RDBECOLITFC00212,RDBECOLITFC00189,RDBECOLITFC00136,RDBECOLITFC00066	H-NS,LeuO,LeuO,LeuO,LeuO,CRP,SlyA,StpA 
RDBECOLITUC00937	cas3	RDBECOLIOPC00937	cas3	RDBECOLIGNC02340	cas3;	RDBECOLIPMC02607	cas3p	sigma70	RDBECOLITFC00189	CRP 
RDBECOLITUC00938	queD	RDBECOLIOPC00148	queD	RDBECOLIGNC04245	queD;				RDBECOLITFC00135	Nac 
RDBECOLITUC00939	ygcNOP	RDBECOLIOPC01577	ygcNOP	RDBECOLIGNC04248,RDBECOLIGNC04247,RDBECOLIGNC04246	ygcP;ygcO;ygcN;					 
RDBECOLITUC00940	ygcRQ	RDBECOLIOPC00644	ygcRQ	RDBECOLIGNC04250,RDBECOLIGNC04249	ygcR;ygcQ;					 
RDBECOLITUC00941	ygcS	RDBECOLIOPC02399	ygcS	RDBECOLIGNC04251	ygcS;				RDBECOLITFC00135	Nac 
RDBECOLITUC00942	ygcU	RDBECOLIOPC01242	ygcU	RDBECOLIGNC04252	ygcU;					 
RDBECOLITUC00943	ygcW	RDBECOLIOPC00369	ygcW	RDBECOLIGNC04253	ygcW;				RDBECOLITFC00189	CRP 
RDBECOLITUC00944	yqcE-ygcE	RDBECOLIOPC01982	yqcE-ygcE	RDBECOLIGNC04254,RDBECOLIGNC02425	ygcE;yqcE;					 
RDBECOLITUC00945	rlmD	RDBECOLIOPC00977	rlmD	RDBECOLIGNC01222	rlmD;	RDBECOLIPMC00143	rlmDp			 
RDBECOLITUC00946	yqcC-truC-yqcA	RDBECOLIOPC00096	yqcC-truC-yqcA	RDBECOLIGNC04262,RDBECOLIGNC04261,RDBECOLIGNC04260	yqcC;truC;yqcA;					 
RDBECOLITUC00947	syd	RDBECOLIOPC01626	syd	RDBECOLIGNC04263	syd;					 
RDBECOLITUC00948	queF	RDBECOLIOPC00686	queF	RDBECOLIGNC04264	queF;	RDBECOLIPMC00144	queFp			 
RDBECOLITUC00949	ppnN	RDBECOLIOPC02321	ppnN	RDBECOLIGNC02236	ppnN;				RDBECOLITFC00135	Nac 
RDBECOLITUC00950	ygdG	RDBECOLIOPC01284	ygdG	RDBECOLIGNC02235	ygdG;					 
RDBECOLITUC00951	csdAE	RDBECOLIOPC00407	csdAE	RDBECOLIGNC04267,RDBECOLIGNC04266	csdE;csdA;					 
RDBECOLITUC00952	tcdA	RDBECOLIOPC01917	tcdA	RDBECOLIGNC04268	tcdA;					 
RDBECOLITUC00953	mltA	RDBECOLIOPC00926	mltA	RDBECOLIGNC04269	mltA;					 
RDBECOLITUC00954	ptrA-recBD	RDBECOLIOPC01375	ptrA-recBD	RDBECOLIGNC00776,RDBECOLIGNC00814,RDBECOLIGNC00816	ptrA;recB;recD;	RDBECOLIPMC03643	ptrAp	sigma70	RDBECOLITFC00214	LexA 
RDBECOLITUC00955	ppdAB-ygdB-ppdC-recC	RDBECOLIOPC02608	ppdAB-ygdB-ppdC-recC	RDBECOLIGNC01983,RDBECOLIGNC01138,RDBECOLIGNC01137,RDBECOLIGNC01136,RDBECOLIGNC00815	ppdA;ppdB;ygdB;ppdC;recC;	RDBECOLIPMC03016	ppdAp	sigma28	RDBECOLITFC00052	FlhDC 
